공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
대학로아트원씨어터,3관,158,11,10,221,14941,민간(대학로),서울특별시 종로구 대학로12길 83 (동숭동)
대학로아트원씨어터,합계,773,21,18,1076,187154,민간(대학로),서울특별시 종로구 대학로12길 83 (동숭동)
코엑스,신한카드 아티움,1004,15,14,276,116139,민간(대학로 외),서울특별시 강남구 영동대로 513 (삼성동)
코엑스,D홀,7000,3,3,6,28595,민간(대학로 외),서울특별시 강남구 영동대로 513 (삼성동)
코엑스,오디토리움,1080,7,7,73,27368,민간(대학로 외),서울특별시 강남구 영동대로 513 (삼성동)
코엑스,컨퍼런스룸(남),450,8,8,52,6636,민간(대학로 외),서울특별시 강남구 영동대로 513 (삼성동)
더 서울라이티움 (갤러리아포레),G층 전용관,800,9,6,1372,175618,민간(대학로 외),서울특별시 성동구 서울숲2길 32-14 (성수동1가)
더 서울라이티움 (갤러리아포레),합계,800,9,6,1372,175618,민간(대학로 외),서울특별시 성동구 서울숲2길 32-14 (성수동1가)
틴틴홀,합계,228,1,0,1158,172919,민간(대학로),서울특별시 종로구 대학로10길 24 (동숭동)
라온아트홀,합계,206,1,0,1300,169820,민간(대학로),서울특별시 종로구 대학로10길 11 (동숭동)
티오엠씨어터(구. 문화공간필링),1관,335,5,4,449,114460,민간(대학로),서울특별시 종로구 대학로8가길 85 (동숭동)
티오엠씨어터(구. 문화공간필링),2관,249,6,5,344,49976,민간(대학로),서울특별시 종로구 대학로8가길 85 (동숭동)
티오엠씨어터(구. 문화공간필링),합계,584,11,9,793,164436,민간(대학로),서울특별시 종로구 대학로8가길 85 (동숭동)
서연아트홀(구. 인아소극장),합계,154,3,1,552,152785,민간(대학로),서울특별시 종로구 창경궁로 258 - 9
홍익대 대학로 아트센터,대극장,702,5,4,382,144476,민간(대학로),서울특별시 종로구 대학로 57 (연건동)
홍익대 대학로 아트센터,소극장,150,11,10,144,7204,민간(대학로),서울특별시 종로구 대학로 57 (연건동)
홍익대 대학로 아트센터,합계,852,16,14,526,151680,민간(대학로),서울특별시 종로구 대학로 57 (연건동)
도토리씨어터,너목들 2관,106,1,1,267,88128,민간(대학로),서울특별시 종로구 대학로12길 63(동숭동)
도토리씨어터,핫식스 1관,126,1,1,240,56684,민간(대학로),서울특별시 종로구 대학로12길 63(동숭동)
도토리씨어터,합계,232,2,2,507,144812,민간(대학로),서울특별시 종로구 대학로12길 63(동숭동)
국립중앙박물관 극장 용,합계,805,11,10,390,139746,국립,서울특별시 용산구 서빙고로 137 (용산동6가)
신한pLay 스퀘어 (구. 신한카드 판스퀘어),드림홀,299,1,0,642,40518,민간(대학로 외),서울특별시 마포구 양화로11길 60 (서교동)
호은아트홀(구 키득키득아트홀),합계,200,1,0,480,117333,민간(대학로),서울특별시 종로구 동숭길 41 (동숭동)
콘텐츠박스(구. 르메이에르 씨어터),합계,197,1,0,879,107017,민간(대학로),서울특별시 종로구 동숭길 55 (동숭동)
링크아트센터,페이코홀,500,10,10,214,59111,민간(대학로),서울특별시 종로구 대학로14길 29(혜화동)
링크아트센터,벅스홀,400,14,14,211,46979,민간(대학로),서울특별시 종로구 대학로14길 29(혜화동)
서경대학교 공연예술센터,스콘1관,352,6,6,279,59234,민간(대학로),서울특별시 종로구 동숭길 148 (혜화동)
서경대학교 공연예술센터,스콘2관,264,10,9,352,45542,민간(대학로),서울특별시 종로구 동숭길 148 (혜화동)
서경대학교 공연예술센터,합계,616,16,15,631,104776,민간(대학로),서울특별시 종로구 동숭길 148 (혜화동)
국립국악원,연희마당,700,1,1,1,664,국립,서울특별시 서초구 남부순환로 2364 (서초동) 국립국악원
