,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1458,예술공간 서울,1.0,120.0,예술공간 서울,120,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 성균관로4길 19 (명륜2가)
1459,예술공간 오르다(구. 우석레파토리극장),1.0,102.0,예술공간 오르다(구. 우석레파토리극장),102,민간(대학로),2002.0,서울,종로구,서울특별시 종로구 이화장길 86-11 (동숭동)
1461,예술공간 유비누리 앱질 전용관,1.0,115.0,예술공간 유비누리 앱질 전용관,115,민간(대학로),2014.0,서울,종로구,서울특별시 종로구 대학로8가길 52 (동숭동)
1462,예술공간 혜화,1.0,100.0,예술공간 혜화,100,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 혜화로 10-3 성인빌딩 
1463,예술공간도화,1.0,0.0,예술공간도화,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
1465,예술극장 나무와물,1.0,154.0,예술극장 나무와물,154,민간(대학로),2003.0,서울,종로구,서울특별시 종로구 창경궁로 263 (명륜2가)
1469,예술나무씨어터(구. 상상나눔씨어터),1.0,232.0,예술나무씨어터(구. 상상나눔씨어터),232,민간(대학로 외),2013.0,서울,구로구,"서울특별시 구로구 구로중앙로 134 (구로동, 신구로자이나인스에비뉴)"
1472,예술의전당,11.0,8159.0,"CJ 토월극장
리사이틀홀
콘서트홀
자유소극장
IBK챔버홀
오페라극장
신세계스퀘어 야외무대
인춘아트홀
1101어린이라운지
서예박물관 
N스튜디오(국립예술단체공연연습장) 공용1","1,004
354
2,527
241
600
2,283
1,000
130
0
0
20",국립,1988.0,서울,서초구,서울특별시 서초구 남부순환로 2406 (서초동)
1475,예스24 라이브홀 (구. 악스코리아),1.0,2500.0,예스24 라이브홀 (구. 악스코리아),2500,민간(대학로 외),2006.0,서울,광진구,서울특별시 광진구 구천면로 20 (광장동)
1476,예스24 스테이지(구. DCF대명문화공장),3.0,962.0,"1관
2관
3관(구. 수현재씨어터)","406
301
255",민간(대학로),2014.0,서울,종로구,서울특별시 종로구 대학로12길 21 (동숭동)
1482,예한교회,1.0,0.0,예한교회,0,기타(비공연장),0.0,서울,송파구,서울특별시 송파구 올림픽로 417(신천동)
1485,오드 포트(ODE PORT),1.0,70.0,라이브홀,70,민간(대학로 외),2018.0,서울,강남구,서울특별시 강남구 도산대로25길 15-10 (신사동) 
1486,오디오가이스튜디오,1.0,100.0,오디오가이스튜디오,100,민간(대학로 외),2000.0,서울,종로구,서울특별시 종로구 효자로23 (통의동)
1488,오류아트홀,1.0,365.0,오류아트홀,365,공공(기타),2018.0,서울,구로구,서울특별시 구로구 경인로20가길 38 (오류동)
1489,오마이갓 전용관,1.0,78.0,오마이갓 전용관,78,민간(대학로),2023.0,서울,종로구,서울특별시 종로구 동숭길 68 (동숭동)
1491,오시선/지하극장,1.0,0.0,오시선/지하극장,0,민간(대학로 외),2017.0,서울,강남구,서울특별시 강남구 논현로6길 26 (개포동)
1492,오씨어터,1.0,115.0,오씨어터,115,민간(대학로 외),2003.0,서울,종로구,서울특별시 종로구 대학로11길 38-23 (명륜4가)
