분류명,공간명(한글),공간명(영어),개관년도,지역,우편번호,주소,Latitude,Longitude
공연장,A 아트홀 (구. 신연아트홀),A Art Hall,2005,종로구  ,       ,서울시 종로구 동숭동 1-37 신연아트홀,37.583226,127.0024241
공연장,AN아트홀 대학로 (구 질러홀),ANarthall,2004,종로구  ,       ,서울시 종로구 동숭동 1-74 B1,37.5824918,127.0035427
공연장,BREAK OUT 전용관,Break Out Theater,    ,종로구  ,       ,서울시 종로구 관철동 33-1 시네코아빌딩 9층,37.5689572,126.98815
공연장,CGV팝아트홀,,2009,영등포구 ,       ,서울시 영등포구 영등포 4가 441-10번지 경방 타임스퀘어 CGV 7층 CGV 팝아트홀,37.5180156,126.9053509
공연장,CTS아트홀,ctsarthall,2005,동작구  ,       ,서울시 동작구 노량진동 27-2 B2층,37.5129482,126.9370009
공연연습실(대학로),CTS아트홀,,    ,동작구  ,156-052,서울시 동작구 노량진로 100,37.5129482,126.9370009
공연장,DCF대명문화공장,daemyungculturefactory,2014,종로구  ,110-809,서울시 종로구  대학로12길 21,37.5827604,127.00327
전시시설,Gallery 2,,    ,강남구  ,135-955,서울시 강남구 압구정로 461,37.5252829,127.0472385
전시시설,huegallery,,    ,성북구  ,136-854,서울시 성북구 정릉로8가길 77,37.6067805,126.995254
공연장,IBK점프전용관,IBK Jump Theater,    ,종로구  ,       ,서울시 종로구 관철동 33-1 시네코아빌딩 9층,37.5689572,126.98815
공연장,IM스테이지,IM Stage,2003,종로구  ,       ,서울시 종로구 명륜4가 113-1 스타시티 빌딩,37.582024,127.000347
공연장,JCC아트센터,JCC ART CENTER,2014,종로구  ,3076,"서울시 종로구 창경궁로35길 29 (혜화동, JEIARTCENTER)",37.5871853,127.0019026
공연장,jk아트홀(구.샘아트홀),JK ArtHall,2010,종로구  ,       ,서울시 종로구 동숭동 1-48 5층,37.5830042,127.0026459
공연연습실(대학로),KBS홀,,    ,영등포구 ,150-914,서울시 영등포구 여의공원로 13,37.5253618,126.916382
공연장,KS 청담아트홀,Chungdam Art Hall,    ,강남구  ,       ,서울시 강남구 청담동 86번지 I&H 빌딩 3층,37.5238189,127.0396036
공연장,KT&G상상아트홀,KT&G Sangsang Art Hall,2006,강남구  ,       ,서울시 강남구 대치동 1002 코스모타워3층,37.5066085,127.0653699
공연장,KT&G상상아트홀,KT&G SANGSANG ARTHALL,2006,강남구  ,       ,서울시 강남구 대치동 1002번지 코스모타워 3층,37.5066085,127.0653699
공연연습실(대학로),KT&G상상아트홀,,    ,강남구  ,135-549,서울시 강남구 영동대로 416,37.5066085,127.0653699
공연장,LG아트센터,LG Arts Center,2000,강남구  ,       ,서울시 강남구 역삼동 679,37.5020938,127.0367984
공연연습실(대학로),LG아트센터,,    ,강남구  ,135-985,서울시 강남구 논현로 508,37.5020938,127.0367984
공연장,LIG아트홀,LIG art Hall,    ,강남구  ,       ,서울시 강남구 역삼동 649-11 LIG타워 지하2층,37.4991928,127.0302652
공연연습실(대학로),LIG아트홀,,    ,강남구  ,135-550,서울시 강남구 테헤란로 117,37.4991928,127.0302652
공연연습실(대학로),M극장,,    ,강남구  ,135-960,서울시 강남구 논현로4길 36,37.4736878,127.0529479
공연장,NH아트홀,NHARTHALL,2011,중구   ,       ,서울시 중구 충정로1가 85 NH아트홀,37.5658572,126.9675449
